;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
0;201600000001;3;39;;;2.0;0.0;;;0.0;1.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0
1;201600000002;3;39;;;1.0;0.0;;;0.0;1.0;2.0;0.0;58.0;1.0;0.0;1.0;0.0
2;201600000003;3;1;;;2.0;2.0;;;0.0;1.0;3.0;0.0;68.0;2.0;0.0;3.0;99.0
3;201600000004;4;0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
4;201600000005;4;0;;;0.0;0.0;;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
5;201600000006;3;41;;;2.0;0.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
6;201600000007;3;1;;;2.0;0.0;;;0.0;1.0;1.0;70.0;0.0;1.0;0.0;1.0;99.0
7;201600000008;3;2;;D;2.0;2.0;;;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;0.0
8;201600000009;4;0;;;2.0;2.0;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;99.0
9;201600000010;4;0;;A;2.0;0.0;;;0.0;0.0;1.0;0.0;44.0;7.0;0.0;1.0;0.0
10;201600000011;3;549;;;2.0;2.0;;;0.0;1.0;1.0;0.0;90.0;2.0;0.0;1.0;99.0
11;201600000012;3;1;;;2.0;2.0;;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
12;201600000014;3;917;;;2.0;2.0;;;0.0;0.0;4.0;0.0;0.0;1.0;0.0;1.0;99.0
13;201600000015;3;549;;;1.0;1.0;;;0.0;1.0;0.0;0.0;93.0;1.0;5.0;1.0;99.0
14;201600000016;4;0;;;2.0;2.0;;;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
15;201600000017;3;917;;;2.0;0.0;;;0.0;1.0;2.0;120.0;120.0;6.0;0.0;1.0;0.0
16;201600000018;3;917;;;2.0;0.0;;;0.0;1.0;1.0;20.0;140.0;1.0;0.0;1.0;0.0
17;201600000019;3;8;;D;3.0;2.0;;;0.0;1.0;1.0;0.0;124.0;1.0;5.0;1.0;99.0
18;201600000020;3;354;;;3.0;2.0;;;0.0;1.0;0.0;46.0;115.0;2.0;5.0;1.0;0.0
19;201600000021;3;954;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
20;201600000022;3;226;;;2.0;2.0;3.0;100.0;0.0;2.0;1.0;0.0;73.0;1.0;0.0;0.0;0.0
21;201600000023;3;1;;;2.0;2.0;3.0;500.0;0.0;1.0;2.0;60.0;0.0;2.0;0.0;3.0;99.0
22;201600000024;3;11;;;2.0;0.0;6.0;400.0;0.0;1.0;3.0;0.0;90.0;1.0;0.0;3.0;99.0
23;201600000025;4;7;;;2.0;2.0;;;0.0;1.0;4.0;0.0;33.0;7.0;0.0;0.0;0.0
24;201600000026;4;0;;;2.0;2.0;;;0.0;0.0;1.0;0.0;50.0;1.0;6.0;1.0;3.0
25;201600000027;9;0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;80.0;1.0;0.0;1.0;3.0
26;201600000028;3;131;;;2.0;2.0;4.0;700.0;0.0;1.0;1.0;0.0;65.0;1.0;0.0;1.0;99.0
27;201600000029;3;3;;;2.0;2.0;3.0;500.0;0.0;1.0;1.0;60.0;60.0;1.0;0.0;1.0;0.0
28;201600000030;3;2;;;2.0;0.0;;;0.0;1.0;1.0;0.0;60.0;1.0;0.0;4.0;0.0
29;201600000031;3;916;;;2.0;2.0;24.0;0.0;0.0;1.0;1.0;0.0;65.0;1.0;0.0;1.0;99.0
30;201600000032;3;52;;;2.0;0.0;;;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
31;201600000033;3;161;;;2.0;1.0;;;0.0;0.0;1.0;0.0;61.0;2.0;0.0;1.0;99.0
32;201600000034;3;916;;;2.0;0.0;4.0;800.0;0.0;1.0;1.0;0.0;64.0;1.0;0.0;1.0;99.0
33;201600000035;3;916;;;2.0;2.0;9.0;500.0;2.0;1.0;1.0;0.0;75.0;2.0;0.0;1.0;99.0
34;201600000036;3;55;;;2.0;0.0;;;0.0;2.0;1.0;0.0;55.0;2.0;0.0;1.0;99.0
35;201600000037;3;642;;;2.0;2.0;;;0.0;1.0;3.0;80.0;0.0;1.0;0.0;1.0;99.0
36;201600000038;3;943;2.0;;2.0;2.0;;;0.0;1.0;1.0;0.0;74.0;1.0;0.0;1.0;0.0
37;201600000039;3;943;2.0;D;2.0;2.0;6.0;800.0;0.0;2.0;1.0;0.0;65.0;1.0;5.0;4.0;99.0
38;201600000040;3;642;;;2.0;2.0;;;0.0;1.0;2.0;0.0;60.0;1.0;0.0;4.0;0.0
39;201600000041;3;642;;;2.0;0.0;0.0;100.0;0.0;1.0;1.0;0.0;71.0;1.0;0.0;1.0;0.0
40;201600000043;3;255;;;2.0;0.0;;;0.0;1.0;3.0;0.0;60.0;1.0;0.0;4.0;0.0
41;201600000044;3;106;;;2.0;0.0;;;0.0;1.0;1.0;55.0;0.0;2.0;0.0;3.0;99.0
42;201600000046;3;55;;;2.0;2.0;;;0.0;0.0;2.0;0.0;35.0;1.0;0.0;0.0;0.0
43;201600000047;3;18;;;2.0;2.0;25.0;0.0;0.0;0.0;1.0;0.0;59.0;1.0;0.0;1.0;99.0
44;201600000049;3;933;;;2.0;2.0;;;0.0;1.0;3.0;0.0;81.0;1.0;0.0;1.0;99.0
45;201600000050;3;223;;;2.0;2.0;;;0.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;99.0
46;201600000051;3;122;;;2.0;2.0;28.0;300.0;0.0;1.0;1.0;68.0;0.0;1.0;0.0;1.0;99.0
47;201600000052;3;945;;;2.0;2.0;;;0.0;1.0;1.0;0.0;65.0;2.0;0.0;1.0;3.0
48;201600000054;3;38;;;2.0;0.0;;;0.0;0.0;3.0;0.0;66.0;1.0;0.0;1.0;0.0
49;201600000055;3;18;;;2.0;1.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
50;201600000056;3;277;;;2.0;2.0;;;0.0;1.0;1.0;0.0;62.0;1.0;0.0;1.0;0.0
51;201600000057;3;38;;;2.0;0.0;7.0;600.0;0.0;1.0;1.0;0.0;58.0;2.0;0.0;1.0;99.0
52;201600000058;3;53;;;2.0;2.0;16.0;600.0;0.0;1.0;3.0;0.0;63.0;1.0;0.0;3.0;99.0
53;201600000059;3;946;;;2.0;0.0;;;0.0;1.0;3.0;0.0;0.0;2.0;0.0;3.0;99.0
54;201600000060;3;122;;;2.0;0.0;;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
55;201600000061;3;946;;;2.0;0.0;;;0.0;1.0;1.0;62.0;0.0;1.0;0.0;1.0;0.0
56;201600000062;4;0;;;2.0;2.0;;;0.0;1.0;1.0;60.0;0.0;1.0;0.0;1.0;99.0
57;201600000063;3;18;;;2.0;2.0;7.0;280.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
