;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
0;201800000001;3;41;;C;2.0;2.0;;;0.0;1.0;3.0;;;1.0;0.0;1.0;0.0
1;201800000002;4;41;;D;2.0;2.0;;;0.0;1.0;2.0;;;1.0;0.0;1.0;0.0
2;201800000003;3;39;;D;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
3;201800000004;3;39;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
4;201800000005;4;;;;1.0;1.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
5;201800000006;3;39;;D;0.0;2.0;;;0.0;2.0;2.0;;;2.0;0.0;3.0;0.0
6;201800000007;3;41;;D;2.0;2.0;16.0;500.0;0.0;1.0;1.0;;;1.0;0.0;3.0;0.0
7;201800000008;4;-;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
8;201800000009;3;141;;D;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;3.0;0.0
9;201800000010;3;641;;;2.0;2.0;1.0;670.0;2.0;1.0;1.0;;;1.0;0.0;1.0;0.0
10;201800000011;3;641;;;2.0;2.0;;;1.0;1.0;1.0;;;1.0;0.0;1.0;0.0
11;201800000012;2;41;;;3.0;4.0;36.0;1.0;3.0;1.0;1.0;;;1.0;0.0;1.0;0.0
12;201800000013;3;22;;C;2.0;2.0;;;0.0;1.0;2.0;;;1.0;0.0;1.0;0.0
13;201800000014;3;947;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
14;201800000015;3;22;;;2.0;2.0;;;0.0;1.0;1.0;;;2.0;0.0;3.0;0.0
15;201800000018;3;917;;;2.0;2.0;23.0;785.0;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
16;201800000019;3;145;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
17;201800000020;4;;;;2.0;2.0;;;0.0;1.0;2.0;;;1.0;0.0;1.0;0.0
18;201800000021;4;;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
19;201800000022;3;917;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
20;201800000023;3;917;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
21;201800000024;4;;;;2.0;2.0;;;0.0;1.0;1.0;;;2.0;6.0;1.0;0.0
22;201800000026;3;954;;;2.0;2.0;;;0.0;1.0;3.0;;;1.0;0.0;1.0;0.0
23;201800000028;3;106;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;3.0;0.0
24;201800000029;3;642;;;2.0;2.0;19.0;900.0;0.0;1.0;1.0;;;1.0;0.0;3.0;0.0
25;201800000030;3;10;;;2.0;2.0;8.0;500.0;0.0;1.0;1.0;;;1.0;0.0;1.0;0.0
