;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
0;201300000001;3;39.0;;;2.0;2.0;10.0;910.0;0.0;1.0;1.0;0.0;61.0;1.0;0.0;1.0;99.0
1;201300000002;3;41.0;;;3.0;4.0;6.0;400.0;0.0;1.0;1.0;12.0;55.0;1.0;0.0;1.0;99.0
2;201300000003;3;145.0;;;2.0;2.0;7.0;500.0;0.0;1.0;4.0;0.0;64.0;1.0;0.0;1.0;99.0
3;201300000004;3;145.0;;;2.0;0.0;3.0;750.0;0.0;1.0;4.0;36.0;65.0;1.0;0.0;1.0;99.0
4;201300000005;4;0.0;;;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
5;201300000006;3;145.0;;;2.0;2.0;7.0;300.0;0.0;0.0;4.0;0.0;64.0;1.0;0.0;1.0;0.0
6;201300000007;2;41.0;;;3.0;0.0;10.0;550.0;0.0;0.0;2.0;30.0;80.0;1.0;0.0;1.0;0.0
7;201300000008;3;22.0;;;2.0;0.0;10.0;800.0;0.0;1.0;1.0;49.0;0.0;2.0;0.0;3.0;99.0
8;201300000009;2;41.0;;;1.0;2.0;5.0;200.0;0.0;0.0;1.0;5.0;80.0;1.0;0.0;1.0;0.0
9;201300000010;3;641.0;;;2.0;0.0;2.0;250.0;0.0;1.0;0.0;85.0;99.0;1.0;5.0;1.0;99.0
10;201300000011;3;641.0;;;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;108.0;2.0;0.0;1.0;99.0
11;201300000012;3;917.0;;;2.0;2.0;22.0;550.0;1.0;1.0;3.0;60.0;60.0;2.0;0.0;3.0;0.0
12;201300000014;3;549.0;;;4.0;1.0;12.0;750.0;0.0;1.0;1.0;0.0;40.0;1.0;0.0;1.0;0.0
13;201300000017;4;2.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;1.0;0.0;1.0;0.0
14;201300000018;3;354.0;;;2.0;2.0;1.0;300.0;0.0;1.0;1.0;0.0;73.0;1.0;0.0;3.0;0.0
15;201300000019;3;54.0;;B;2.0;1.0;0.0;100.0;0.0;1.0;2.0;54.0;130.0;1.0;0.0;4.0;0.0
16;201300000020;3;54.0;;;2.0;0.0;2.0;250.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
17;201300000021;3;54.0;;;2.0;2.0;0.0;550.0;0.0;1.0;2.0;58.0;0.0;1.0;0.0;4.0;99.0
18;201300000022;4;0.0;;;1.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;100.0;1.0;0.0;4.0;3.0
19;201300000023;3;954.0;;;2.0;2.0;5.0;0.0;0.0;1.0;1.0;66.0;0.0;7.0;0.0;3.0;0.0
20;201300000024;3;110.0;;;2.0;2.0;5.0;243.0;0.0;0.0;1.0;50.0;155.0;1.0;5.0;1.0;0.0
21;201300000025;3;55.0;;;2.0;2.0;13.0;690.0;0.0;1.0;1.0;0.0;54.0;1.0;0.0;3.0;0.0
22;201300000026;3;417.0;;;2.0;2.0;0.0;200.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
23;201300000027;3;928.0;;;2.0;2.0;9.0;90.0;0.0;3.0;1.0;62.0;0.0;1.0;0.0;1.0;0.0
24;201300000028;3;916.0;;;2.0;0.0;10.0;0.0;2.0;3.0;1.0;0.0;65.0;2.0;0.0;1.0;99.0
25;201300000029;3;642.0;;;2.0;2.0;16.0;850.0;0.0;1.0;1.0;0.0;60.0;2.0;0.0;1.0;0.0
26;201300000030;3;916.0;;;2.0;1.0;9.0;950.0;2.0;2.0;1.0;0.0;60.0;1.0;0.0;5.0;0.0
27;201300000032;3;947.0;;;2.0;2.0;17.0;530.0;0.0;1.0;1.0;0.0;70.0;1.0;0.0;3.0;99.0
28;201300000033;3;642.0;;;2.0;0.0;25.0;275.0;0.0;1.0;2.0;0.0;85.0;1.0;0.0;1.0;0.0
29;201300000034;3;238.0;;;2.0;2.0;3.0;200.0;0.0;0.0;1.0;0.0;51.0;1.0;0.0;3.0;0.0
30;201300000035;3;255.0;;;2.0;2.0;1.0;900.0;0.0;1.0;1.0;0.0;70.0;1.0;0.0;3.0;99.0
31;201300000036;3;943.0;;;2.0;0.0;58.0;650.0;0.0;0.0;1.0;0.0;77.0;1.0;0.0;1.0;0.0
32;201300000037;3;933.0;;;2.0;2.0;35.0;500.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
33;201300000038;4;0.0;;;2.0;2.0;0.0;0.0;0.0;1.0;4.0;0.0;32.0;1.0;0.0;1.0;0.0
34;201300000039;3;53.0;;;2.0;0.0;6.0;50.0;0.0;1.0;1.0;27.0;55.0;6.0;0.0;1.0;99.0
35;201300000040;3;18.0;;;2.0;2.0;20.0;650.0;0.0;1.0;1.0;0.0;64.0;1.0;0.0;1.0;99.0
