;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
0;201500000001;3;239.0;;;2.0;2.0;0.0;0.0;0.0;0.0;1.0;59.0;0.0;2.0;0.0;1.0;0.0
1;201500000002;3;41.0;;;2.0;2.0;11.0;300.0;0.0;1.0;3.0;0.0;75.0;1.0;0.0;1.0;99.0
2;201500000003;3;41.0;;;2.0;0.0;;;0.0;0.0;1.0;0.0;75.0;1.0;0.0;1.0;99.0
3;201500000004;4;0.0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;59.0;1.0;0.0;1.0;99.0
4;201500000005;3;239.0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;59.0;1.0;0.0;1.0;99.0
5;201500000006;3;141.0;;;2.0;2.0;12.0;670.0;0.0;1.0;1.0;0.0;65.0;2.0;0.0;1.0;99.0
6;201500000007;3;941.0;;;2.0;2.0;;;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
7;201500000008;3;22.0;;A;2.0;0.0;;;0.0;1.0;1.0;0.0;45.0;1.0;0.0;1.0;0.0
8;201500000009;3;1.0;;;2.0;2.0;;;0.0;0.0;0.0;0.0;64.0;1.0;5.0;1.0;0.0
9;201500000010;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;58.0;1.0;0.0;0.0;99.0
10;201500000011;3;94.0;;;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
11;201500000012;4;;;;2.0;2.0;;;0.0;0.0;1.0;0.0;120.0;1.0;0.0;1.0;99.0
12;201500000013;3;90.0;;;2.0;0.0;;;0.0;1.0;3.0;0.0;70.0;1.0;0.0;1.0;0.0
13;201500000015;3;917.0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;99.0
14;201500000016;4;0.0;;;2.0;2.0;;;0.0;1.0;2.0;0.0;63.0;1.0;0.0;3.0;0.0
15;201500000017;3;120.0;;;2.0;2.0;0.0;0.0;0.0;0.0;1.0;70.0;0.0;2.0;0.0;1.0;3.0
16;201500000018;3;354.0;;;2.0;0.0;2.0;400.0;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;99.0
17;201500000019;3;120.0;;;2.0;1.0;7.0;770.0;0.0;0.0;1.0;13.0;60.0;1.0;0.0;1.0;99.0
18;201500000020;3;300.0;;;2.0;2.0;5.0;690.0;0.0;0.0;1.0;0.0;75.0;2.0;0.0;1.0;99.0
19;201500000021;3;131.0;;;2.0;2.0;5.0;850.0;0.0;1.0;1.0;0.0;64.0;1.0;5.0;1.0;99.0
20;201500000022;4;0.0;;;0.0;0.0;;;0.0;1.0;3.0;0.0;25.0;1.0;0.0;3.0;0.0
21;201500000023;3;17.0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;31.0;1.0;0.0;1.0;0.0
22;201500000024;3;212.0;;;2.0;2.0;5.0;650.0;0.0;3.0;2.0;0.0;72.0;1.0;0.0;1.0;99.0
23;201500000025;3;1.0;;;2.0;0.0;;;0.0;0.0;1.0;0.0;50.0;1.0;0.0;1.0;0.0
24;201500000026;3;2.0;;;2.0;2.0;10.0;800.0;0.0;1.0;1.0;0.0;70.0;2.0;0.0;1.0;0.0
25;201500000027;3;300.0;;;2.0;2.0;1.0;55.0;0.0;1.0;1.0;0.0;75.0;1.0;0.0;1.0;99.0
26;201500000028;3;928.0;;;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0
27;201500000030;3;18.0;;;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;62.0;2.0;0.0;1.0;0.0
