;Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
0;201500000001;0;33;0;0.0;2.0;1.0;1.0;A01
1;201500000001;0;7;0;0.0;2.0;5.0;20.0;B02
2;201500000002;0;30;0;12.0;2.0;3.0;17.0;A01
3;201500000002;0;7;0;0.0;2.0;3.0;23.0;B02
4;201500000003;0;30;0;0.0;2.0;1.0;1.0;B02
5;201500000003;0;7;0;0.0;2.0;4.0;1.0;A01
6;201500000004;0;7;0;0.0;2.0;1.0;1.0;A01
7;201500000004;0;2;0;0.0;2.0;1.0;13.0;B02
8;201500000005;0;7;0;0.0;1.0;0.0;1.0;A01
9;201500000006;0;7;0;0.0;2.0;1.0;1.0;B02
10;201500000006;0;7;0;7.0;2.0;5.0;19.0;A01
11;201500000007;0;7;0;0.0;2.0;1.0;11.0;A01
12;201500000007;0;7;0;0.0;2.0;1.0;1.0;B02
13;201500000008;0;7;0;0.0;2.0;3.0;13.0;A01
14;201500000008;0;7;0;0.0;2.0;3.0;1.0;B02
15;201500000009;0;7;0;0.0;2.0;1.0;1.0;A01
16;201500000009;0;7;0;0.0;2.0;8.0;15.0;B02
17;201500000010;0;31;0;0.0;2.0;1.0;0.0;B02
18;201500000010;0;10;0;0.0;0.0;3.0;15.0;A01
19;201500000011;0;7;0;0.0;2.0;7.0;19.0;A01
20;201500000011;0;33;0;0.0;2.0;1.0;1.0;B02
21;201500000012;0;33;0;0.0;2.0;1.0;1.0;B02
22;201500000012;0;10;0;0.0;2.0;3.0;15.0;A01
23;201500000013;0;2;0;0.0;2.0;1.0;1.0;A01
24;201500000013;0;7;0;0.0;2.0;3.0;15.0;B02
25;201500000015;0;7;0;0.0;2.0;1.0;9.0;A01
26;201500000015;0;31;0;0.0;2.0;7.0;17.0;B02
27;201500000016;0;7;0;8.0;0.0;2.0;1.0;A01
28;201500000017;0;7;0;0.0;2.0;2.0;2.0;B02
29;201500000017;0;7;0;0.0;2.0;4.0;2.0;A01
30;201500000018;0;33;0;0.0;2.0;1.0;17.0;A01
31;201500000018;0;7;0;0.0;2.0;4.0;15.0;B02
32;201500000019;0;33;0;0.0;2.0;2.0;1.0;B02
33;201500000019;0;7;0;0.0;2.0;1.0;10.0;A01
34;201500000020;0;7;0;0.0;2.0;1.0;1.0;B02
35;201500000020;0;7;0;0.0;2.0;2.0;1.0;C03
36;201500000020;0;7;0;0.0;9.0;0.0;1.0;D04
37;201500000020;0;7;0;0.0;2.0;1.0;0.0;A01
38;201500000021;0;7;0;0.0;2.0;3.0;1.0;A01
39;201500000021;0;7;0;0.0;2.0;8.0;19.0;B02
40;201500000022;0;7;0;13.0;0.0;1.0;0.0;A01
41;201500000023;0;7;0;0.0;0.0;1.0;0.0;A01
42;201500000023;0;30;0;0.0;0.0;7.0;0.0;B02
43;201500000024;0;10;0;0.0;2.0;1.0;1.0;A01
44;201500000024;0;31;0;0.0;2.0;7.0;15.0;B02
45;201500000025;0;7;0;0.0;1.0;5.0;1.0;A01
46;201500000026;0;7;0;0.0;1.0;3.0;1.0;A01
47;201500000027;0;7;0;0.0;2.0;1.0;1.0;B02
48;201500000027;0;7;0;0.0;2.0;1.0;13.0;A01
49;201500000028;0;7;0;13.0;0.0;1.0;1.0;A01
50;201500000030;0;7;0;0.0;2.0;1.0;1.0;A01
51;201500000030;0;7;0;0.0;2.0;2.0;19.0;B02
52;201500000033;0;21;0;0.0;0.0;9.0;1.0;A01
53;201500000034;0;10;0;0.0;2.0;1.0;19.0;A01
54;201500000034;0;7;0;0.0;0.0;8.0;1.0;B02
55;201500000035;0;7;0;0.0;2.0;1.0;13.0;A01
56;201500000035;0;7;0;0.0;2.0;1.0;1.0;B02
57;201500000037;0;7;0;0.0;2.0;1.0;1.0;B02
58;201500000037;0;7;0;0.0;2.0;8.0;15.0;A01
59;201500000038;0;14;0;0.0;1.0;7.0;16.0;A01
60;201500000039;0;7;0;0.0;2.0;8.0;19.0;A01
61;201500000039;0;7;0;0.0;2.0;1.0;1.0;B02
62;201500000040;0;7;0;0.0;2.0;1.0;1.0;B02
63;201500000040;0;7;0;0.0;2.0;3.0;19.0;A01
64;201500000041;0;7;0;8.0;0.0;7.0;14.0;A01
65;201500000042;0;33;0;0.0;0.0;0.0;17.0;A01
66;201500000043;0;7;0;13.0;0.0;1.0;14.0;A01
67;201500000044;0;33;0;13.0;0.0;1.0;1.0;A01
68;201500000045;0;7;0;0.0;2.0;1.0;19.0;A01
69;201500000045;0;7;0;0.0;0.0;8.0;1.0;B02
70;201500000046;0;7;0;13.0;0.0;9.0;1.0;A01
71;201500000047;0;10;0;0.0;2.0;1.0;1.0;B02
72;201500000047;0;7;0;0.0;2.0;3.0;21.0;C03
73;201500000047;0;7;0;0.0;2.0;1.0;13.0;A01
74;201500000048;0;33;0;0.0;2.0;1.0;17.0;A01
75;201500000048;0;99;0;0.0;2.0;3.0;15.0;B02
76;201500000049;0;35;0;0.0;2.0;3.0;13.0;A01
77;201500000049;0;7;0;0.0;2.0;7.0;1.0;C03
78;201500000049;0;7;0;0.0;2.0;3.0;1.0;B02
79;201500000050;0;7;0;0.0;2.0;2.0;17.0;A01
80;201500000050;0;7;0;0.0;2.0;7.0;1.0;C03
81;201500000050;0;7;0;0.0;2.0;6.0;2.0;B02
82;201500000051;0;7;0;0.0;1.0;3.0;1.0;A01
83;201500000053;0;7;0;13.0;0.0;2.0;14.0;A01
84;201500000054;0;10;0;8.0;0.0;1.0;1.0;A01
85;201500000055;0;33;0;0.0;2.0;1.0;21.0;B02
86;201500000055;0;7;0;0.0;2.0;3.0;10.0;A01
87;201500000057;0;7;0;0.0;1.0;3.0;1.0;A01
88;201500000058;0;7;0;13.0;0.0;1.0;1.0;A01
89;201500000059;0;14;0;0.0;0.0;3.0;1.0;B02
90;201500000059;0;7;0;0.0;0.0;3.0;13.0;A01
91;201500000060;0;7;0;6.0;0.0;1.0;1.0;A01
92;201500000061;0;7;0;2.0;0.0;1.0;19.0;A01
93;201500000062;0;7;0;0.0;2.0;7.0;17.0;A01
94;201500000062;0;1;0;0.0;2.0;8.0;1.0;B02
95;201500000063;0;7;0;0.0;2.0;3.0;1.0;B02
96;201500000063;0;7;0;0.0;2.0;3.0;13.0;A01
97;201500000064;0;7;0;0.0;1.0;2.0;2.0;A01
98;201500000065;0;7;0;13.0;0.0;4.0;1.0;A01
99;201500000066;0;7;0;6.0;0.0;2.0;13.0;A01
100;201500000067;0;7;0;0.0;2.0;8.0;15.0;B02
101;201500000067;0;36;0;0.0;2.0;1.0;1.0;A01
102;201500000068;0;7;0;0.0;2.0;8.0;2.0;B02
103;201500000068;0;7;0;8.0;2.0;8.0;2.0;A01
104;201500000069;0;7;0;0.0;2.0;1.0;1.0;B02
105;201500000069;0;7;0;0.0;2.0;7.0;13.0;A01
106;201500000070;0;33;0;13.0;0.0;1.0;1.0;A01
107;201500000071;0;7;0;0.0;2.0;2.0;1.0;B02
108;201500000071;0;7;0;0.0;2.0;2.0;13.0;A01
109;201500000072;0;7;0;0.0;1.0;6.0;4.0;A01
110;201500000074;0;10;0;0.0;2.0;3.0;15.0;A01
111;201500000074;0;33;0;0.0;2.0;1.0;1.0;B02
112;201500000075;0;2;0;0.0;2.0;7.0;1.0;B02
113;201500000075;0;7;0;0.0;2.0;3.0;16.0;A01
114;201500000076;0;33;0;0.0;0.0;1.0;1.0;A01
115;201500000077;0;7;0;0.0;0.0;3.0;0.0;A01
116;201500000077;0;33;0;0.0;0.0;3.0;0.0;B02
